tksprio,TIC,TOI,CPS_NAME,RCS-Lead,"Jul2022
check?",Programs,"Fits ran (Npl, circ, ecc, trend, curv, gp)",Fit preferred (official file name without .py),HIRES/APF,N_Keck_Oct2020,N_APF_Oct2020,"Is there additional data? If so, what?","Status (published, cooked, discuss...)",Mass measurement confidence,Date last evaluated,Comments,Observing recommendation,color,spectral_type,vsini [km/s],prot [d],sval,logrhk,jitter [m/s],activity
41,142387023,1824,T001824,Ryan,y-cooked,"TOB, SC1A, SC1B, SC2A","1pl_trend, """"+GP, """"+GP_sval_trained",T001824_gp,,55,85 (235),,,~5,7/12/2022,done,DG cadence for SC2A,g,,,,,,,
DONE,311035838,1419,HTR145-001,,,,,default,,10,0,,cooked,,,,,,-,1.45,,0.212,-4.907,2.32,350.15
DONE,94986319,421,T000421,,,,,T000421_ecc_2p_updated_radii,,35,0,FIES/HARPS (80+),cooked,,,,,,,,,,,,
DONE,55092869,664,93396,,,,,default,,37,16,,cooked,,,"KELT-11, prior KP, possible second planet",low cadence for outer planet?,,-,4.45,,0.191,-4.851,3,372.42
DONE,413248763,562,GL357,,,,,luque2019,,61,0,"Luque et al. (2019) from HIRES (Butler et al.), HARPS, UVES, CARMENES, and PFS",cooked,,,,,,-,0.60,,0.246,-4.95,1.6,702.66
DONE,302773669,1573,17156,,,,,default,,67,0,,cooked,,,prior KP,,,-,4.13,,0.121,-5.349,1.92,279.96
DONE,255930614,2024,149026,,,,,default,,76,0,,,,,prior KP,,,F8,3.03,,0.124,-5.308,1.85,278.18
DONE,266593143,1283,HTR248-002,,,,,default,,108,0,,cooked,,,"HAT-P-17, prior KP",,,-,4.93,,0.108,-5.607,1.59,191.82
DONE,120960812,1237,K00244,,,,,default_cps,,124,0,,cooked,,,prior KP with TTVs,,,-,2.86,,0.139,-5.159,2.04,326.25
DONE,28230919,1144,HTR155-001,,,,,default_cps,,258,0,,cooked,,,"HAT-P-11, prior KP",,,F8,7.22,,0.111,-5.575,1.72,214.27
DONE,283722336,1469,219134,,,,,default,,554,596,,cooked,,,"prior KP, legacy star",,,-,4.14,,0.201,-4.803,3.19,387.98
DONE,82308728,1821,97658,,,,,default_cps,,580,224,,cooked,,,"prior KP, legacy star",,,K3,0.72,,0.247,-4.801,2.5,478.87
DONE,332064670,1773,75732,,,,,default,,716,327,,cooked,,,"55Cnc, prior KP",,,G3,6.02,,0.108,-5.623,1.61,190.84
DONE,31374837,431,HIP26013,,,,,default,,39,0,HARPS (150+),"cooked, paper in prep by Armstrong et al.",,,May include in TKS USP meta-analysis,,,-,4.89,,0.223,-4.745,2.44,365.46
DONE,158025009,1416,HIP70705,,,,,included_carmenes_no_apf,,13,53,"KESPRINT (FIES, HARPS-N, and CARMENES)","cooked, paper in prep by John Livingston",,,,,,-,0.00,,0.128,-5.259,2.02,349.81
DONE,188768068,1462,158259,,,,,SOPHIE-and-CPS,,50,113,Hara et al. (2019) w/ SOPHIE has Nobs>200,"cooked, RVs contributed to SOHIE",,,,,,G5,0.01,,0.142,-5.135,2.14,388.94
DONE,70899085,442,T000442,,,,,default,,16,0,"ESPRESSO, iSHELL and PFS","cooked, RVs contributed to Stefan Dreizler",,,,,,-,12.20,,0.115,-5.584,1.93,199.63
DONE,103633434,1235,T001235,,,,,default,,11,0,HARPS-N,RVs contributed to Cloutier et al.,,,,,,-,9.66,,0.172,-4.932,2.71,387.99
DONE,98796344,455,GJ3193,,,,,default,,38,0,HARPS + ESPRESSO,RVs contributed to Jenn Winters,,,,,,-,2.46,,0.385,-4.628,3.06,355.9
,,,,,,,,,,,,,,,,,,,-,4.18,,0.525,-4.705,,
,,,,,,,,,,,,,,,,,,,G5,6.97,,0.221,-4.723,,
,,,,,,,,,,,,,,,,,,,G5,0.95,,0.143,-5.127,,
,,,,,,,,,,,,,,,,,,,-,9.51,,0.119,-5.397,,
,,,,,,,,,,,,,,,,,,,G8,1.05,,0.105,,,
,,,,,,,,,,,,,,,,,,,-,1.91,,0.093,-5.785,,
,,,,,,,,,,,,,,,,,,,-,2.25,,0.142,-5.156,,
,,,,,,,,,,,,,,,,,,,-,1.70,,0.145,-5.072,,
,,,,,,,,,,,,,,,,,,,-,2.16,,0.159,-5.04,,
,,,,,, ,,,,,,,,,,,,,-,2.31,,0.118,-5.43,,
,,,,,,,,,,,,,,,,,,,G5,1.62,,0.125,-5.343,,
,,,,,,,,,,,,,,,,,,,G5IV,6.56,,0.297,-4.546,4.84,544.22
,,,,,,,,,,,,,,,,,,,G5IV,6.56,,0.297,-4.546,4.84,544.22
,,,,,,,,,,,,,,,,,,,G5,3.78,,,,,
,,,,,,,,,,,,,,,,,,,-,2.90,,0.431,,,
,,,,,,,,,,,,,,,,,,,-,1.53,,0.132,-5.216,,
,,,,,,,,,,,,,,,,,,,F8,4.68,,0.132,-5.204,,
,,,,,,,,,,,,,,,,,,,-,2.14,,0.101,,,
,,,,,,,,,,,,,,,,,,,-,1.25,,0.146,-5.115,,
,,,,,,,,,,,,,,,,,,,-,,,,,,
,,,,,,,,,,,,,,,,,,,M0.0Ve,,,,,,
,,,,,,,,,,,,,,,,,,,-,1.56,,0.114,,,
,,,,,,,,,,,,,,,,,,,-,0.94,,0.168,-4.964,,
,,,,,,,,,,,,,,,,,,,-,0.17,,0.169,-5.029,2.13,638.27
,,,,,,,,,,,,,,,,,,,-,0.75,,0.143,-5.121,,
,,,,,,,,,,,,,,,,,,,-,2.61,,0.286,,,
,,,,,,,,,,,,,,,,,,,-,0.27,,0.139,-5.154,,
,,,,,,,,,,,,,,,,,,,-,1.56,,0.156,-5.023,,
,,,,,,,,,,,,,,,,,,,-,2.15,,0.13,-5.237,,
,,,,,,,,,,,,,,,,,,,-,1.34,,0.147,,,
,,,,,,,,,,,,,,,,,,,-,3.70,,0.165,-4.945,,
,,,,,,,,,,,,,,,,,,,-,0.89,,0.158,,,
,,,,,,,,,,,,,,,,,,,-,0.00,,0.139,-5.154,,
,,,,,,,,,,,,,,,,,,,-,4.49,,0.576,-4.544,,
,,,,,,,,,,,,,,,,,,,-,10.04,,0.113,,,
,,,,,,,,,,,,,,,,,,,-,3.10,,0.119,,,
,,,,,,,,,,,,,,,,,,,-,0.00,,0.185,-4.931,2.25,507.02
,,,,,,,,,,,,,,,,,,,-,4.46,,0.206,,,
,,,,,,,,,,,,,,,,,,,-,2.01,,0.255,-4.948,,
,,,,,,,,,,,,,,,,,,,-,0.82,,0.249,-4.78,,
,,,,,,,,,,,,,,,,,,,-,0.79,,0.228,-4.789,,
,,,,,,,,,,,,,,,,,,,-,0.79,,0.228,-4.789,,
,,,,,,,,,,,,,,,,,,,-,6.38,,0.112,-5.544,,
,,,,,,,,,,,,,,,,,,,-,6.49,,0.118,-5.369,,
,,,,,,,,,,,,,,,,,,,-,10.37,,0.48,-4.256,8.04,354.89
,,,,,,,,,,,,,,,,,,,-,7.32,,0.115,-5.462,1.8,328.08
,,,,,,,,,,,,,,,,,,,-,,,,,,
,,,,,,,,,,,,,,,,,,,-,,,,,,
,,,,,,,,,,,,,,,,,,,-,,,,,,
,,,,,,,,,,,,,,,,,,,-,,,,,,
,,,,,,,,,,,,,,,,,,,-,,,,,,
,,,,,,,,,,,,,,,,,,,-,,,,,,
